"Latitude";"Altitude";"Rainfall";"Frosts";"Year";"PMCno";"DBH";"Ht";"Surv";"Vig";"Ins_res";"Stem_Fm";"Crown_Fm";"Brnch_Fm";"Sp";"Utility"
-41,1333333333333;220;1050;-2;1983;1592;19,34;8,3;100;3,5;3,5;2,5;3,5;2,5;"am";"1"
-40;150;1300;-2;1983;2634;40,52;18,95;10;4,5;4,5;3;4;2;"nd";"1"
-39,7166666666667;150;900;-2;1986;3272;33,68;14,41;48,1154514241089;2,97460588704054;2,73945740868513;2,84855310494981;3,05503584269953;2,70183676430344;"pu";"0"
-40,95;180;1080;-3;1981;1592;14,22;11,45;35;3;3;3;4;3;"am";"1"
-40,95;180;1080;-3;1982;2638;0,58;1,75;25;1,5;3;3;3;3;"el";"0"
-41,2;160;1000;-3;1981;1786;18,9;11,8;75;5;3;2,5;2,5;2;"fr";"0"
-41,2;160;1000;-3;1981;2469;15,2;12,3;5;3;4;3,5;3;4;"ob";"0"
-40,6;150;1250;-3;1983;2547;20,8;10,23;13;3;3;3;2,5;3;"ni";"0"
-40,95;180;1080;-3;1983;2573;5,19;4,44;13;1,5;2,5;3;3;3;"pu";"0"
-41,2666666666667;300;1200;-3;1982;2573;10,78;6,62;100;2,5;4;3;3;2;"pu";"0"
-39,6333333333333;100;850;-2;1980;2088;14,5;10,78;90;4;2,7;3,3;3;3;"ni";"1"
-40,95;180;1080;-3;1983;1788;5,35;5,9;25;2;1,8;2;2,5;3;"ov";"0"
-41,2666666666667;300;1200;-3;1982;2571;6,41;3,26;75;2;2;2;2;2;"ov";"0"
-39,7166666666667;150;900;-2;1986;3272;35,37;15,14;48,115744299289;2,97461958339828;2,73947030228319;2,84856646014005;3,05505006795187;2,70184947538121;"pu";"0"
-39;200;1400;-2;1980;1596;25,99;9,6;66,8885407885576;4;4;3;4;2,7;"nd";"1"
-41,2666666666667;300;1200;-3;1982;2575;8,56;3,33;75;2;3;2;2;2;"rd";"0"
-39,8333333333333;70;1000;-2;1981;1112;13,1;10,6;88;2;2;3;3;3;"br";"0"
-41,2666666666667;300;1200;-3;1982;2569;13,73;7,6;75;2,5;2;3;3;3;"nd";"0"
-39,8333333333333;70;1000;-2;1981;1338;15,8;10;38;3,5;3,5;3,3;3,5;3;"el";"0"
-40;150;1300;-2;1983;1482;38,15;16,85;10;3,5;4;3,3;4;3,5;"fa";"1"
