"Style";"Price";"Rating";"Size";"Season";"NeckLine";"SleeveLength";"waiseline";"Material";"FabricType";"Decoration";"Pattern";"Class"
"casual";"low";4,4;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"animal";"1"
"party";"high";4,6531561461794;"m";"winter";"sweetheart";"sleevless";"natural";"cotton";"chiffon";"pearls";"solid";"1"
"casual";"average";4,6;"l";"summer";"bowneck";"full";"dropped";"cotton";"chiffon";"lace";"patchwork";"1"
"vintage";"low";4;"free";"summer";"turndowncollor";"short";"natural";"cotton";"wollen";"hollowout";"solid";"1"
"casual";"low";4,8;"free";"spring";"o-neck";"full";"natural";"cotton";"worsted";"lace";"solid";"1"
"work";"average";4,6;"l";"summer";"slash-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"1"
"party";"high";4,7;"m";"winter";"sweetheart";"sleeveless";"natural";"cotton";"chiffon";"flowers";"solid";"1"
"brief";"average";4,9;"xl";"spring";"slash-neck";"full";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"sexy";"average";4,9;"free";"summer";"sqare-collor";"sleevless";"natural";"polyster";"chiffon";"sashes";"print";"1"
"sexy";"average";4,6;"m";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"patchwork";"2"
"bohemian";"average";4,8;"l";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"1"
"casual";"low";4,6531561461794;"free";"autumn";"peterpan-collor";"threequarter";"empire";"cotton";"chiffon";"lace";"solid";"1"
"casual";"low";4,5;"free";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"button";"solid";"1"
"casual";"low";4,7;"s";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
"casual";"low";4,6;"free";"autumn";"o-neck";"halfsleeve";"natural";"chiffonfabric";"chiffon";"lace";"leapord";"2"
"cute";"average";4,7;"m";"summer";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"sashes";"splice";"1"
"casual";"high";4,6531561461794;"l";"winter";"v-neck";"thressqatar";"natural";"polyster";"chiffon";"ruffles";"solid";"2"
"sexy";"average";4,5;"m";"spring";"o-neck";"threequarter";"natural";"polyster";"chiffon";"lace";"geometric";"1"
"casual";"high";4,6;"m";"summer";"sweetheart";"sleevless";"empire";"cotton";"chiffon";"beading";"solid";"2"
"cute";"low";4,5;"m";"summer";"o-neck";"butterfly";"natural";"chiffonfabric";"chiffon";"bow";"dot";"1"
"vintage";"average";4,5;"l";"winter";"o-neck";"short";"empire";"cotton";"chiffon";"sequined";"patchwork";"2"
"vintage";"average";4,9;"free";"summer";"o-neck";"urndowncollor";"empire";"cotton";"chiffon";"lace";"solid";"1"
"casual";"average";4,6;"free";"autumn";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"2"
"casual";"medium";4,8;"m";"winter";"peterpan-collor";"short";"natural";"polyster";"chiffon";"lace";"patchwork";"1"
"casual";"low";4,6531561461794;"m";"spring";"o-neck";"sleevless";"natural";"silk";"chiffon";"applique";"solid";"2"
"sexy";"low";4,6531561461794;"free";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"1"
"work";"average";4,6;"l";"spring";"o-neck";"short";"empire";"cotton";"jersey";"lace";"patchwork";"1"
"sexy";"average";4,8;"l";"spring";"v-neck";"threequarter";"empire";"polyster";"chiffon";"lace";"geometric";"1"
"casual";"low";5;"m";"summer";"v-neck";"sleevless";"empire";"polyster";"chiffon";"ruffles";"animal";"1"
"sexy";"average";4,6531561461794;"free";"autumn";"o-neck";"full";"natural";"polyster";"sattin";"hollowout";"solid";"1"
"cute";"average";5;"m";"autumn";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"party";"average";5;"m";"spring";"sweetheart";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"2"
"casual";"medium";4,5;"s";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"patchwork";"2"
"casual";"low";4;"free";"summer";"v-neck";"sleevless";"natural";"cotton";"broadcloth";"hollowout";"print";"1"
"casual";"low";4,6531561461794;"s";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"beading";"solid";"2"
"sexy";"low";4,8;"free";"summer";"slash-neck";"sleevless";"empire";"silk";"chiffon";"lace";"solid";"1"
"cute";"high";4,6531561461794;"m";"spring";"v-neck";"full";"natural";"rayon";"chiffon";"lace";"solid";"2"
"casual";"average";5;"s";"spring";"turndowncollor";"full";"empire";"cotton";"worsted";"lace";"solid";"1"
"casual";"low";4,6531561461794;"m";"summer";"v-neck";"full";"natural";"acrylic";"chiffon";"lace";"solid";"1"
"casual";"average";4,6531561461794;"s";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"1"
"bohemian";"average";4;"free";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"ruffles";"striped";"1"
"party";"average";5;"free";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"brief";"low";4,7;"free";"autumn";"o-neck";"sleevless";"natural";"cotton";"shiffon";"sequined";"solid";"1"
"casual";"low";5;"free";"spring";"v-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"average";5;"m";"autumn";"v-neck";"short";"natural";"cotton";"broadcloth";"beading";"solid";"1"
"casual";"low";4,7;"l";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"average";4,6531561461794;"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"hollowout";"plaid";"1"
"work";"average";4,9;"m";"summer";"sqare-collor";"halfsleeve";"empire";"polyster";"sattin";"sashes";"solid";"1"
"cute";"low";4,9;"m";"autumn";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"bow";"dot";"1"
"casual";"average";4,8;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"casual";"low";1;"m";"spring";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"1"
"work";"average";4,6531561461794;"m";"autumn";"slash-neck";"sleevless";"natural";"polyster";"chiffon";"bow";"patchwork";"1"
"cute";"average";4,7;"l";"summer";"o-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"solid";"1"
"cute";"low";4,6531561461794;"l";"spring";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"2"
"casual";"low";4,6;"free";"autumn";"o-neck";"full";"natural";"rayon";"chiffon";"lace";"solid";"2"
"casual";"average";4,7;"s";"spring";"o-neck";"halfsleeve";"empire";"cotton";"chiffon";"lace";"solid";"2"
"party";"average";4,6531561461794;"m";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"sexy";"low";4,7;"m";"winter";"slash-neck";"sleevless";"natural";"nylon";"chiffon";"sashes";"solid";"2"
"cute";"low";4,6531561461794;"free";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"low";4,5;"free";"autumn";"v-neck";"short";"natural";"silk";"worsted";"lace";"solid";"1"
"casual";"low";5;"m";"summer";"boat-neck";"short";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"casual";"low";4,6531561461794;"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"hollowout";"solid";"1"
"casual";"average";4,6531561461794;"m";"autumn";"o-neck";"short";"empire";"polyster";"chiffon";"applique";"print";"1"
"vintage";"average";4,8;"m";"summer";"o-neck";"short";"empire";"cotton";"jersey";"lace";"animal";"2"
"work";"average";4,7;"m";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"sexy";"low";4,8;"free";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"sequined";"solid";"2"
"cute";"average";4,4;"free";"spring";"sweetheart";"sleevless";"empire";"spandex";"tulle";"ruched";"solid";"2"
"casual";"medium";4,6531561461794;"free";"winter";"bowneck";"full";"natural";"cashmere";"knitted";"lace";"solid";"2"
"casual";"low";4,6;"free";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"applique";"solid";"1"
"work";"average";5;"m";"summer";"o-neck";"sleveless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"bohemian";"low";4,7;"free";"winter";"o-neck";"short";"natural";"nylon";"chiffon";"sashes";"print";"1"
"casual";"low";4,6531561461794;"free";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"1"
"cute";"medium";4,9;"s";"summer";"bowneck";"sleevless";"empire";"cotton";"chiffon";"bow";"patchwork";"2"
"sexy";"low";4,8;"free";"spring";"slash-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"1"
"party";"average";4,4;"free";"autumn";"v-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"average";4,6;"m";"winter";"v-neck";"full";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
"sexy";"average";4,5;"s";"winter";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"1"
"casual";"average";4,6531561461794;"m";"spring";"o-neck";"sleevless";"natural";"silk";"chiffon";"lace";"print";"1"
"casual";"low";4,7;"l";"summer";"o-neck";"full";"natural";"mix";"worsted";"lace";"patchwork";"2"
"sexy";"average";5;"m";"summer";"o-neck";"sleeveless";"natural";"polyster";"broadcloth";"rivet";"solid";"1"
"casual";"average";4,6;"m";"winter";"v-neck";"halfsleeve";"natural";"silk";"chiffon";"sashes";"solid";"2"
"casual";"low";4,6;"s";"spring";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
"sexy";"low";4,6531561461794;"free";"winter";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"2"
"casual";"average";4,8;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"cute";"high";4,6531561461794;"m";"winter";"o-neck";"threequarter";"empire";"silk";"chiffon";"lace";"patchwork";"1"
"bohemian";"low";4,4;"l";"summer";"bowneck";"short";"natural";"cotton";"chiffon";"lace";"dot";"1"
"casual";"low";4,7;"m";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
"work";"medium";4,6;"l";"winter";"sqare-collor";"short";"empire";"cotton";"chiffon";"tiered";"solid";"1"
"cute";"medium";4,6;"free";"spring";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"hollowout";"solid";"2"
"party";"very-high";4,9;"m";"spring";"sweetheart";"sleevless";"natural";"silk";"chiffon";"beading";"solid";"2"
"sexy";"low";4,7;"free";"summer";"turndowncollor";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
"casual";"low";4,8;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"2"
"casual";"low";4,4;"free";"summer";"turndowncollor";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"average";4,8;"l";"autumn";"o-neck";"short";"natural";"cashmere";"chiffon";"lace";"solid";"1"
"casual";"average";4,6531561461794;"xl";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
"casual";"low";5;"m";"spring";"o-neck";"sleeevless";"natural";"chiffonfabric";"chiffon";"lace";"solid";"2"
"casual";"average";4,6531561461794;"l";"spring";"boat-neck";"sleevless";"natural";"cotton";"chiffon";"applique";"patchwork";"2"
"brief";"average";4,6;"m";"winter";"peterpan-collor";"threequarter";"natural";"cotton";"chiffon";"lace";"solid";"1"
"sexy";"average";4,6531561461794;"m";"winter";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"1"
"flare";"average";4,6531561461794;"free";"spring";"v-neck";"short";"empire";"cotton";"broadcloth";"beading";"solid";"2"
"vintage";"average";4,8;"l";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
"casual";"average";4,5;"m";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
"fashion";"average";4;"free";"summer";"open";"full";"natural";"cotton";"chiffon";"sequined";"solid";"1"
