"Style";"Price";"Rating";"Size";"Season";"NeckLine";"SleeveLength";"waiseline";"Material";"FabricType";"Decoration";"Pattern";"Class"
"casual";"low";4,4;"free";"summer";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"animal";"1"
"party";"high";5;"m";"winter";"sweetheart";"sleevless";"natural";"polyster";"broadcloth";"pearls";"solid";"1"
"casual";"average";4,6;"l";"summer";"bowneck";"full";"dropped";"cotton";"broadcloth";"applique";"patchwork";"1"
"vintage";"low";4;"free";"summer";"turndowncollor";"short";"natural";"cotton";"wollen";"hollowout";"solid";"1"
"casual";"low";4,8;"free";"spring";"o-neck";"full";"natural";"cotton";"worsted";"lace";"solid";"1"
"work";"average";4,6;"l";"summer";"slash-neck";"short";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"party";"high";4,7;"m";"winter";"sweetheart";"sleeveless";"natural";"viscos";"chiffon";"flowers";"animal";"1"
"brief";"average";4,9;"xl";"spring";"slash-neck";"full";"natural";"mix";"wollen";"sashes";"solid";"1"
"sexy";"average";4,9;"free";"summer";"sqare-collor";"sleevless";"natural";"polyster";"chiffon";"sashes";"print";"1"
"sexy";"average";4,6;"m";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"sashes";"patchwork";"2"
"bohemian";"average";4,8;"l";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"1"
"casual";"low";4,4;"free";"autumn";"peterpan-collor";"threequarter";"empire";"cotton";"chiffon";"sequined";"solid";"1"
"casual";"low";4,5;"free";"summer";"o-neck";"full";"natural";"cotton";"wollen";"button";"solid";"1"
"casual";"low";4,7;"s";"summer";"o-neck";"full";"natural";"cotton";"shiffon";"sashes";"patchwork";"1"
"casual";"low";4,6;"free";"autumn";"o-neck";"halfsleeve";"natural";"chiffonfabric";"chiffon";"sequined";"leapord";"2"
"cute";"average";4,7;"m";"summer";"o-neck";"sleevless";"natural";"chiffonfabric";"broadcloth";"sashes";"splice";"1"
"casual";"high";4,8;"l";"winter";"v-neck";"thressqatar";"natural";"polyster";"broadcloth";"ruffles";"solid";"2"
"sexy";"average";4,5;"m";"spring";"o-neck";"threequarter";"natural";"polyster";"broadcloth";"lace";"geometric";"1"
"casual";"high";4,6;"m";"summer";"sweetheart";"sleevless";"empire";"polyster";"chiffon";"beading";"animal";"2"
"cute";"low";4,5;"m";"summer";"o-neck";"butterfly";"natural";"chiffonfabric";"chiffon";"bow";"dot";"1"
"vintage";"average";4,5;"l";"winter";"o-neck";"short";"empire";"cotton";"chiffon";"sequined";"patchwork";"2"
"vintage";"average";4,9;"free";"summer";"o-neck";"urndowncollor";"empire";"polyster";"sattin";"beading";"solid";"1"
"casual";"average";4,6;"free";"autumn";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"2"
"casual";"medium";4,8;"m";"winter";"peterpan-collor";"short";"natural";"polyster";"chiffon";"lace";"patchwork";"1"
"casual";"low";4,8;"m";"spring";"o-neck";"sleevless";"natural";"silk";"chiffon";"applique";"solid";"2"
"sexy";"low";4,7;"free";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"hollowout";"solid";"1"
"work";"average";4,6;"l";"spring";"o-neck";"short";"empire";"cotton";"jersey";"pockets";"patchwork";"1"
"sexy";"average";4,8;"l";"spring";"v-neck";"threequarter";"empire";"polyster";"broadcloth";"lace";"geometric";"1"
"casual";"low";5;"m";"summer";"v-neck";"sleevless";"empire";"polyster";"chiffon";"ruffles";"animal";"1"
"sexy";"average";5;"free";"autumn";"o-neck";"full";"natural";"polyster";"sattin";"hollowout";"solid";"1"
"cute";"average";5;"m";"autumn";"v-neck";"sleevless";"natural";"cotton";"chiffon";"hollowout";"solid";"1"
"party";"average";5;"m";"spring";"sweetheart";"sleevless";"natural";"polyster";"jersey";"sequined";"dot";"2"
"casual";"medium";4,5;"s";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"sashes";"patchwork";"2"
"casual";"low";4;"free";"summer";"v-neck";"sleevless";"natural";"cotton";"broadcloth";"hollowout";"print";"1"
"casual";"low";4,8;"s";"autumn";"o-neck";"full";"natural";"chiffonfabric";"broadcloth";"beading";"solid";"2"
"sexy";"low";4,8;"free";"summer";"slash-neck";"sleevless";"empire";"silk";"chiffon";"lace";"solid";"1"
"cute";"high";4,9;"m";"spring";"v-neck";"full";"natural";"rayon";"knitted";"sashes";"solid";"2"
"casual";"average";5;"s";"spring";"turndowncollor";"full";"empire";"cotton";"worsted";"applique";"solid";"1"
"casual";"low";4,5;"m";"summer";"v-neck";"full";"natural";"acrylic";"shiffon";"lace";"solid";"1"
"casual";"average";4,7;"s";"summer";"o-neck";"sleevless";"empire";"cotton";"broadcloth";"embroidary";"solid";"1"
"bohemian";"average";4;"free";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"ruffles";"striped";"1"
"party";"average";5;"free";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"rivet";"solid";"1"
"brief";"low";4,7;"free";"autumn";"o-neck";"sleevless";"natural";"cotton";"shiffon";"sequined";"solid";"1"
"casual";"low";5;"free";"spring";"v-neck";"full";"natural";"cotton";"corduroy";"sashes";"solid";"2"
"casual";"average";5;"m";"autumn";"v-neck";"short";"natural";"cotton";"broadcloth";"beading";"solid";"1"
"casual";"low";4,7;"l";"summer";"boat-neck";"sleevless";"natural";"cotton";"chiffon";"sequined";"solid";"2"
"casual";"average";5;"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"hollowout";"plaid";"1"
"work";"average";4,9;"m";"summer";"sqare-collor";"halfsleeve";"empire";"polyster";"sattin";"sashes";"solid";"1"
"cute";"low";4,9;"m";"autumn";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"bow";"dot";"1"
"casual";"average";4,8;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"casual";"low";1;"m";"spring";"o-neck";"halfsleeve";"empire";"polyster";"chiffon";"sashes";"solid";"1"
"work";"average";5;"m";"autumn";"slash-neck";"sleevless";"natural";"polyster";"broadcloth";"bow";"patchwork";"1"
"cute";"average";4,7;"l";"summer";"o-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"solid";"1"
"cute";"low";4,4;"l";"spring";"o-neck";"sleevless";"empire";"polyster";"chiffon";"sashes";"animal";"2"
"casual";"low";4,6;"free";"autumn";"o-neck";"full";"natural";"rayon";"sattin";"lace";"solid";"2"
"casual";"average";4,7;"s";"spring";"o-neck";"halfsleeve";"empire";"spandex";"chiffon";"sashes";"animal";"2"
"party";"average";4,7;"m";"spring";"v-neck";"sleevless";"natural";"milksilk";"chiffon";"sequined";"dot";"2"
"sexy";"low";4,7;"m";"winter";"slash-neck";"sleevless";"natural";"nylon";"chiffon";"sashes";"solid";"2"
"cute";"low";5;"free";"winter";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"sashes";"patchwork";"1"
"casual";"low";4,5;"free";"autumn";"v-neck";"short";"natural";"silk";"worsted";"lace";"solid";"1"
"casual";"low";5;"m";"summer";"boat-neck";"short";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"casual";"low";4,9;"free";"spring";"o-neck";"short";"natural";"cotton";"worsted";"hollowout";"solid";"1"
"casual";"average";4,7;"m";"autumn";"o-neck";"short";"empire";"polyster";"chiffon";"applique";"print";"1"
"vintage";"average";4,8;"m";"summer";"o-neck";"short";"empire";"cotton";"jersey";"sashes";"animal";"2"
"work";"average";4,7;"m";"spring";"v-neck";"sleevless";"natural";"silk";"chiffon";"sashes";"animal";"2"
"sexy";"low";4,8;"free";"spring";"v-neck";"sleevless";"natural";"cotton";"jersey";"sequined";"solid";"2"
"cute";"average";4,4;"free";"spring";"sweetheart";"sleevless";"empire";"spandex";"tulle";"ruched";"solid";"2"
"casual";"medium";4,9;"free";"winter";"bowneck";"full";"dropped";"cashmere";"knitted";"sequined";"solid";"2"
"casual";"low";4,6;"free";"winter";"o-neck";"full";"natural";"polyster";"worsted";"applique";"solid";"1"
"work";"average";5;"m";"summer";"o-neck";"sleveless";"natural";"milksilk";"flannael";"sashes";"solid";"2"
"bohemian";"low";4,7;"free";"winter";"o-neck";"short";"natural";"nylon";"broadcloth";"sashes";"print";"1"
"casual";"low";4,4;"free";"spring";"v-neck";"sleevless";"natural";"cotton";"broadcloth";"lace";"print";"1"
"cute";"medium";4,9;"s";"summer";"bowneck";"sleevless";"empire";"acrylic";"broadcloth";"bow";"patchwork";"2"
"sexy";"low";4,8;"free";"spring";"slash-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"1"
"party";"average";4,4;"free";"autumn";"v-neck";"threequarter";"natural";"silk";"lace";"sashes";"solid";"1"
"casual";"average";4,6;"m";"winter";"v-neck";"full";"natural";"chiffonfabric";"chiffon";"lace";"striped";"1"
"sexy";"average";4,5;"s";"winter";"v-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"striped";"1"
"casual";"average";5;"m";"spring";"o-neck";"sleevless";"natural";"silk";"broadcloth";"beading";"print";"1"
"casual";"low";4,7;"l";"summer";"o-neck";"full";"natural";"mix";"worsted";"lace";"patchwork";"2"
"sexy";"average";5;"m";"summer";"o-neck";"sleeveless";"natural";"polyster";"broadcloth";"rivet";"solid";"1"
"casual";"average";4,6;"m";"winter";"v-neck";"halfsleeve";"natural";"silk";"chiffon";"sashes";"solid";"2"
"casual";"low";4,6;"s";"spring";"o-neck";"full";"natural";"cotton";"shiffon";"sequined";"solid";"2"
"sexy";"low";4,8;"free";"winter";"v-neck";"sleevless";"empire";"cotton";"chiffon";"sashes";"solid";"2"
"casual";"average";4,8;"free";"summer";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"1"
"cute";"high";4,9;"m";"winter";"o-neck";"threequarter";"empire";"silk";"chiffon";"lace";"patchwork";"1"
"bohemian";"low";4,4;"l";"summer";"bowneck";"short";"natural";"cotton";"broadcloth";"applique";"dot";"1"
"casual";"low";4,7;"m";"autumn";"o-neck";"full";"natural";"cotton";"worsted";"sashes";"solid";"1"
"work";"medium";4,6;"l";"winter";"sqare-collor";"short";"empire";"cotton";"chiffon";"tiered";"solid";"1"
"cute";"medium";4,6;"free";"spring";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"hollowout";"solid";"2"
"party";"very-high";4,9;"m";"spring";"sweetheart";"sleevless";"natural";"silk";"chiffon";"beading";"dot";"2"
"sexy";"low";4,7;"free";"summer";"turndowncollor";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"2"
"casual";"low";4,8;"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"print";"2"
"casual";"low";4,4;"free";"summer";"turndowncollor";"sleevless";"natural";"cotton";"chiffon";"flowers";"solid";"1"
"casual";"average";4,8;"l";"autumn";"o-neck";"short";"natural";"cashmere";"sattin";"ruffles";"striped";"1"
"casual";"average";4,5;"xl";"summer";"o-neck";"full";"empire";"cotton";"chiffon";"feathers";"solid";"1"
"casual";"low";5;"m";"spring";"o-neck";"sleeevless";"natural";"chiffonfabric";"chiffon";"sashes";"solid";"2"
"casual";"average";4,4;"l";"spring";"boat-neck";"sleevless";"natural";"cotton";"chiffon";"applique";"patchwork";"2"
"brief";"average";4,6;"m";"winter";"peterpan-collor";"threequarter";"natural";"cotton";"broadcloth";"sequined";"solid";"1"
"sexy";"average";4,3;"m";"winter";"o-neck";"short";"natural";"cotton";"worsted";"lace";"solid";"1"
"flare";"average";4,7;"free";"spring";"v-neck";"short";"empire";"cotton";"broadcloth";"beading";"solid";"2"
"vintage";"average";4,8;"l";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"patchwork";"1"
"casual";"average";4,5;"m";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
"fashion";"average";4;"free";"summer";"open";"full";"empire";"cotton";"broadcloth";"sequined";"solid";"1"
"casual";"low";4,4;"free";"summer";"o-neck";"full";"natural";"cotton";"worsted";"pockets";"solid";"1"
"novelty";"average";4,3;"free";"summer";"o-neck";"full";"natural";"cotton";"sattin";"hollowout";"solid";"1"
"casual";"low";4,6;"m";"summer";"o-neck";"sleevless";"natural";"cotton";"broadcloth";"sashes";"striped";"1"
"casual";"low";4,5;"free";"summer";"v-neck";"halfsleeve";"natural";"silk";"broadcloth";"applique";"solid";"1"
"casual";"low";4,8;"m";"winter";"v-neck";"sleevless";"natural";"polyster";"chiffon";"applique";"print";"1"
"casual";"low";4,7;"m";"summer";"o-neck";"sleevless";"empire";"milksilk";"chiffon";"lace";"solid";"1"
"party";"low";4,5;"l";"summer";"o-neck";"full";"natural";"cotton";"shiffon";"sashes";"animal";"2"
"party";"very-high";4,6;"free";"summer";"o-neck";"sleevless";"empire";"rayon";"chiffon";"hollowout";"solid";"1"
"cute";"average";4,3;"l";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
"brief";"average";4,6;"free";"winter";"o-neck";"full";"natural";"mix";"worsted";"sashes";"solid";"1"
"sexy";"low";4,6;"m";"summer";"o-neck";"sleevless";"empire";"silk";"chiffon";"ruffles";"animal";"2"
"party";"high";4,5;"m";"winter";"o-neck";"sleevless";"natural";"silk";"jersey";"sequined";"animal";"2"
"casual";"medium";4,9;"l";"spring";"sqare-collor";"sleevless";"empire";"cotton";"broadcloth";"sashes";"print";"1"
"casual";"average";4,6;"xl";"winter";"v-neck";"short";"empire";"polyster";"shiffon";"pockets";"solid";"2"
"casual";"low";3;"free";"winter";"o-neck";"halfsleeve";"natural";"polyster";"worsted";"sequined";"patchwork";"2"
"cute";"average";4,6;"m";"spring";"o-neck";"halfsleeve";"natural";"acrylic";"chiffon";"hollowout";"solid";"1"
"casual";"average";4,9;"s";"winter";"turndowncollor";"full";"natural";"cotton";"lace";"sashes";"solid";"2"
"casual";"low";4,3;"free";"summer";"backless";"sleevless";"empire";"chiffonfabric";"chiffon";"crystal";"animal";"1"
"casual";"average";4,7;"m";"summer";"o-neck";"thressqatar";"natural";"chiffonfabric";"chiffon";"ruched";"solid";"1"
"bohemian";"average";5;"m";"spring";"slash-neck";"sleevless";"empire";"silk";"chiffon";"ruffles";"solid";"2"
"sexy";"low";4,8;"free";"spring";"v-neck";"sleevless";"natural";"polyster";"chiffon";"sequined";"striped";"2"
"vintage";"high";4,8;"l";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"sashes";"print";"1"
"casual";"low";4,9;"l";"summer";"boat-neck";"short";"natural";"cotton";"chiffon";"sequined";"patchwork";"2"
"casual";"average";4,8;"l";"spring";"o-neck";"halfsleeve";"natural";"polyster";"chiffon";"hollowout";"solid";"2"
"sexy";"low";4,6;"free";"spring";"o-neck";"full";"natural";"chiffonfabric";"broadcloth";"lace";"leopard";"2"
"casual";"average";4,6;"l";"autumn";"o-neck";"sleevless";"empire";"polyster";"chiffon";"ruffles";"solid";"1"
"cute";"average";4,5;"l";"winter";"v-neck";"sleevless";"natural";"polyster";"jersey";"sashes";"solid";"2"
"casual";"average";4,8;"m";"summer";"v-neck";"full";"natural";"chiffonfabric";"shiffon";"button";"striped";"1"
"casual";"average";4,7;"s";"winter";"slash-neck";"halfsleeve";"natural";"nylon";"broadcloth";"sashes";"solid";"1"
"casual";"low";5;"m";"spring";"o-neck";"sleevless";"natural";"spandex";"jersey";"sashes";"print";"1"
"sexy";"very-high";5;"free";"winter";"v-neck";"sleevless";"natural";"polyster";"knitting";"lace";"solid";"1"
"sexy";"average";4,5;"m";"summer";"bowneck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
"party";"very-high";4,1;"m";"winter";"scoop";"short";"natural";"cotton";"lace";"applique";"dot";"2"
"casual";"average";4,7;"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"animal";"2"
"brief";"low";4,7;"m";"winter";"o-neck";"full";"natural";"cotton";"worsted";"sashes";"patchwork";"1"
"casual";"medium";4,5;"free";"spring";"o-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"2"
"casual";"high";5;"free";"summer";"v-neck";"sleevless";"natural";"nylon";"chiffon";"sashes";"dot";"2"
"casual";"average";5;"m";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"2"
"party";"average";4,8;"m";"summer";"o-neck";"full";"natural";"cotton";"shiffon";"sashes";"solid";"2"
"sexy";"low";5;"free";"spring";"v-neck";"sleevless";"empire";"viscos";"chiffon";"applique";"solid";"1"
"sexy";"average";4,8;"free";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"embroidary";"solid";"1"
"sexy";"average";5;"m";"autumn";"o-neck";"sleevless";"empire";"milksilk";"chiffon";"sashes";"animal";"2"
"vintage";"low";4,8;"s";"summer";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"ruffles";"print";"1"
"casual";"low";4,6;"free";"winter";"boat-neck";"full";"natural";"other";"other";"lace";"solid";"1"
"casual";"average";4,4;"free";"summer";"o-neck";"capsleeves";"natural";"cotton";"broadcloth";"sequined";"solid";"1"
"casual";"average";4,7;"xl";"summer";"v-neck";"halfsleeve";"natural";"cashmere";"broadcloth";"sashes";"print";"2"
"cute";"average";5;"xl";"spring";"boat-neck";"full";"natural";"cotton";"worsted";"applique";"dot";"2"
"cute";"average";4,7;"m";"spring";"o-neck";"full";"natural";"rayon";"chiffon";"beading";"solid";"2"
"vintage";"low";4,6;"m";"summer";"o-neck";"short";"natural";"lycra";"chiffon";"sashes";"print";"1"
"casual";"low";4,4;"m";"summer";"o-neck";"halfsleeve";"empire";"chiffonfabric";"chiffon";"bow";"solid";"1"
"casual";"low";4,4;"free";"summer";"v-neck";"short";"empire";"cotton";"corduroy";"lace";"solid";"1"
"party";"very-high";4,9;"l";"spring";"slash-neck";"sleevless";"empire";"cotton";"chiffon";"flowers";"animal";"2"
"cute";"average";4,7;"l";"winter";"o-neck";"sleevless";"natural";"chiffonfabric";"broadcloth";"lace";"solid";"1"
"sexy";"average";4,3;"free";"spring";"v-neck";"full";"natural";"cotton";"wollen";"lace";"solid";"2"
"sexy";"low";4,8;"l";"summer";"o-neck";"sleevless";"natural";"cotton";"jersey";"sashes";"solid";"2"
"casual";"average";5;"free";"winter";"o-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"animal";"2"
"sexy";"low";4,6;"l";"autumn";"o-neck";"sleevless";"natural";"cotton";"knitting";"lace";"solid";"2"
"casual";"average";4,4;"m";"summer";"o-neck";"short";"empire";"cotton";"chiffon";"lace";"patchwork";"1"
"casual";"low";5;"free";"spring";"bowneck";"sleevless";"natural";"silk";"chiffon";"applique";"print";"1"
"flare";"average";4,7;"free";"spring";"v-neck";"short";"natural";"nylon";"shiffon";"sashes";"animal";"1"
"sexy";"low";4,3;"m";"autumn";"open";"short";"natural";"lace";"chiffon";"lace";"print";"1"
"bohemian";"average";4,6;"m";"spring";"o-neck";"sleevless";"natural";"shiffon";"shiffon";"sashes";"solid";"1"
