"Rating";"Style";"Price";"Size";"Season";"NeckLine";"SleeveLength";"waiseline";"Material";"FabricType";"Decoration";"Pattern";"Class"
4,4;"casual";"low";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"animal";"1"
0;"party";"high";"m";"winter";"sweetheart";"sleevless";"natural";"cotton";"chiffon";"pearls";"solid";"1"
4,6;"casual";"average";"l";"summer";"bowneck";"full";"dropped";"cotton";"chiffon";"lace";"patchwork";"1"
4;"vintage";"low";"free";"summer";"turndowncollor";"short";"natural";"cotton";"wollen";"hollowout";"solid";"1"
4,8;"casual";"low";"free";"spring";"o-neck";"full";"natural";"cotton";"worsted";"lace";"solid";"1"
4,6;"work";"average";"l";"summer";"slash-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,7;"party";"high";"m";"winter";"sweetheart";"sleeveless";"natural";"cotton";"chiffon";"flowers";"solid";"1"
4,9;"brief";"average";"xl";"spring";"slash-neck";"full";"natural";"cotton";"chiffon";"sashes";"solid";"1"
4,9;"sexy";"average";"free";"summer";"sqare-collor";"sleevless";"natural";"polyster";"chiffon";"sashes";"print";"1"
4,6;"sexy";"average";"m";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"patchwork";"2"
4,8;"bohemian";"average";"l";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"1"
0;"casual";"low";"free";"autumn";"peterpan-collor";"threequarter";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,5;"casual";"low";"free";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"button";"solid";"1"
4,7;"casual";"low";"s";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
4,6;"casual";"low";"free";"autumn";"o-neck";"halfsleeve";"natural";"chiffonfabric";"chiffon";"lace";"leapord";"2"
4,7;"cute";"average";"m";"summer";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"sashes";"splice";"1"
0;"casual";"high";"l";"winter";"v-neck";"thressqatar";"natural";"polyster";"chiffon";"ruffles";"solid";"2"
4,5;"sexy";"average";"m";"spring";"o-neck";"threequarter";"natural";"polyster";"chiffon";"lace";"geometric";"1"
4,6;"casual";"high";"m";"summer";"sweetheart";"sleevless";"empire";"cotton";"chiffon";"beading";"solid";"2"
4,5;"cute";"low";"m";"summer";"o-neck";"butterfly";"natural";"chiffonfabric";"chiffon";"bow";"dot";"1"
4,5;"vintage";"average";"l";"winter";"o-neck";"short";"empire";"cotton";"chiffon";"sequined";"patchwork";"2"
4,9;"vintage";"average";"free";"summer";"o-neck";"urndowncollor";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,6;"casual";"average";"free";"autumn";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"2"
4,8;"casual";"medium";"m";"winter";"peterpan-collor";"short";"natural";"polyster";"chiffon";"lace";"patchwork";"1"
0;"casual";"low";"m";"spring";"o-neck";"sleevless";"natural";"silk";"chiffon";"applique";"solid";"2"
0;"sexy";"low";"free";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,6;"work";"average";"l";"spring";"o-neck";"short";"empire";"cotton";"jersey";"lace";"patchwork";"1"
4,8;"sexy";"average";"l";"spring";"v-neck";"threequarter";"empire";"polyster";"chiffon";"lace";"geometric";"1"
5;"casual";"low";"m";"summer";"v-neck";"sleevless";"empire";"polyster";"chiffon";"ruffles";"animal";"1"
0;"sexy";"average";"free";"autumn";"o-neck";"full";"natural";"polyster";"sattin";"hollowout";"solid";"1"
5;"cute";"average";"m";"autumn";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
5;"party";"average";"m";"spring";"sweetheart";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"2"
4,5;"casual";"medium";"s";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"patchwork";"2"
4;"casual";"low";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"broadcloth";"hollowout";"print";"1"
