"rectal_temperature";"pulse";"respiratory_rate";"packed_cell_volume";"total_protein";"surgery";"Age";"temp_extremities";"peripheral_pulse";"mucous_membranes";"capillary_refill_time";"pain";"peristalsis";"abdominal_distension";"nasogastric_tube";"nasogastric_reflux";"rectal_examination";"abdomen";"outcome";"surgical_lesion"
37,5;52;12;36;61;"no";"adult";"normal";"normal";"normal pink";"<3";"depressed";"hypomotile";"slight";"slight";"none";"decreased";"distended large intestine";"lived";"no"
37,4;54;18;30;7,1;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"absent";"moderate";"slight";">1l";"absent";"distended large intestine";"lived";"yes"
38,1;52;24;54;7,5;"yes";"adult";"normal";"normal";"bright red";"<3";"intermittent severe pain";"hypomotile";"none";"slight";"<1l";"normal";"distended large intestine";"died";"yes"
39,2;66,8459365958186;23;36;6,6;"yes";"adult";"cool";"normal";"pale pink";"<3";"intermittent severe pain";"absent";"slight";"slight";"none";"absent";"distended large intestine";"lived";"yes"
38,4;48;16;39;6,5;"no";"adult";"warm";"normal";"normal pink";"<3";"alert no pain";"hypomotile";"slight";"slight";"none";"absent";"other";"lived";"no"
37,6;88;36;44;6;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"slight";"none";"<1l";"absent";"distended large intestine";"died";"yes"
56,4143405175153;150;60;74,490369097601;-39,3469590873479;"no";"young";"cold";"absent";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"slight";"none";"absent";"distended large intestine";"died";"yes"
39,2;88;58;50,9070575434377;-7,13497364831398;"yes";"adult";"cold";"absent";"normal pink";">=3";"continuous severe pain";"absent";"none";"slight";"none";"absent";"distended large intestine";"euthanized";"no"
38,1;88;24;41;4,6;"yes";"adult";"cool";"reduced";"pale cyanotic";"<3";"continuous severe pain";"absent";"moderate";"slight";"none";"decreased";"distended small intestine";"died";"yes"
0;0;0;0;0;"yes";"adult";"cool";"normal";"normal pink";"<3";"depressed";"hypomotile";"moderate";"none";"<1l";"absent";"distended small intestine";"died";"yes"
40,3;114;36;57;8,1;"no";"adult";"cool";"reduced";"normal pink";">=3";"depressed";"hypomotile";"moderate";"slight";"none";"normal";"distended large intestine";"euthanized";"yes"
37,8;40;16;37;6,8;"no";"adult";"normal";"normal";"normal pink";"<3";"alert no pain";"hypermotile";"none";"slight";"none";"normal";"normal";"lived";"no"
37,3;104;35;74;7,4;"no";"adult";"cool";"normal";"dark cyanotic";">=3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"died";"no"
38;42;12;37;5,8;"no";"adult";"cool";"normal";"pale pink";"<3";"alert no pain";"hypomotile";"none";"slight";"none";"absent";"other";"lived";"no"
38,6;40;20;41;6,4;"no";"adult";"cool";"normal";"normal pink";"<3";"intermittent mild pain";"hypomotile";"none";"slight";"none";"absent";"distended large intestine";"lived";"no"
37,8;56;16;44;68;"no";"adult";"normal";"normal";"bright pink";"<3";"depressed";"hypermotile";"none";"slight";"none";"normal";"distended large intestine";"lived";"no"
37,2;108;12;52;8,2;"no";"adult";"cool";"reduced";"pale cyanotic";">=3";"depressed";"absent";"slight";"slight";"<1l";"decreased";"firm feces in large intestine";"euthanized";"yes"
38,2;78;60;59;5,8;"yes";"young";"cold";"absent";"dark cyanotic";"<3";"intermittent mild pain";"hypomotile";"moderate";"slight";"none";"normal";"distended large intestine";"died";"yes"
37,6;48;20;37;5,5;"no";"adult";"cool";"normal";"pale cyanotic";"<3";"alert no pain";"hypermotile";"moderate";"slight";"none";"normal";"normal";"euthanized";"yes"
37,9;60;15;65;7,5;"yes";"adult";"cool";"normal";"pale cyanotic";">=3";"continuous severe pain";"absent";"severe";"slight";">1l";"absent";"distended large intestine";"lived";"yes"
