"duration";"wage.increase.first.year";"wage.increase.second.year";"wage.increase.third.year";"working.hours";"standby.pay";"shift.differential";"statutory.holidays";"cost.of.living.adjustment";"pension";"education.allowance";"vacation";"longterm.disability.assistance";"contribution.to.dental.plan";"bereavement.assistance";"contribution.to.health.plan";"class"
2;4,5;4;3,976488720935;40;6,00307417251573;4;10;"none";"none";"no";"generous";"yes";"half";"yes";"full";"good"
2,21737736502082;3,84053011066055;4,09991629505654;4,05558182915318;38;6,30030580796415;5;11;"none";"empl_contr";"no";"generous";"yes";"half";"yes";"half";"good"
1;2;3,31720004529104;3,14240840650168;40;4;0;11;"tc";"ret_allw";"no";"generous";"no";"none";"no";"none";"bad"
1;5,7;4,11332395859397;4,04085877497428;40;6,12520050325898;4;11;"none";"empl_contr";"no";"generous";"yes";"full";"yes";"full";"good"
2;3,5;4;3,57231565651936;40;5,09763820862849;2;10;"none";"none";"no";"below_average";"no";"half";"yes";"half";"bad"
2;2;2,5;3,96270300852008;35;6,29591327959529;6;12;"none";"none";"yes";"average";"yes";"half";"yes";"full";"good"
2;4,6;4,6;3,98371530473652;38;6,13079300252942;4,57492101035034;11,1014000175377;"tcf";"none";"no";"below_average";"yes";"half";"yes";"half";"good"
2;2,5;3;2,58251179391517;40;2,8585540853113;-3,15551036728703;11;"none";"none";"no";"below_average";"yes";"half";"yes";"full";"bad"
3;3,7;4;5;11,5265002121109;8,93842801200782;17,1412194917462;4,71328825902355;"tc";"none";"yes";"below_average";"yes";"half";"yes";"full";"good"
2;5;4;4,01991175553801;37;6,28261205991724;5;11;"none";"none";"no";"below_average";"yes";"full";"yes";"full";"good"
1;2,8;3,36430031618347;3,26232185716947;35;4,7111496754441;2;12;"none";"none";"no";"below_average";"yes";"half";"yes";"full";"good"
2;2;3;2,79808266653471;38;3,46400255660744;-1,4065192552641;12;"none";"empl_contr";"yes";"generous";"yes";"none";"yes";"full";"bad"
1;3;4,77146055728164;4,84784691447228;36;8,22726478121045;10;11;"none";"none";"no";"generous";"yes";"half";"yes";"full";"good"
3;3,5;4;4,6;27;6,85625556998259;8,79805599644963;8,38133802765532;"tcf";"none";"no";"below_average";"yes";"half";"yes";"full";"good"
3;4,5;4,5;5;40;7,19862774970981;6,46580597070714;12;"none";"none";"no";"average";"yes";"half";"yes";"half";"good"
2;6,4;6,4;4,17003115013427;38;6,45506920323348;4;15;"none";"none";"no";"below_average";"yes";"full";"yes";"full";"good"
3;3;2;2,5;40;6,05187342932418;5;10;"tc";"none";"no";"below_average";"yes";"half";"yes";"full";"bad"
1;4;4,69089259280049;4,84078354628407;30,3636625827376;8,61139357461064;11,9315285686084;11;"none";"none";"yes";"average";"no";"none";"no";"none";"bad"
2;4,5;4;4,19755576280994;40;6,48232595859957;5;11;"none";"none";"no";"average";"yes";"full";"yes";"full";"good"
3;3,5;4;4,6;36;5,49118505261095;3;13;"none";"none";"no";"generous";"yes";"half";"yes";"full";"good"
