"timestamp";"customer";"job_number";"grain_screened";"proof_on_ctd_ink";"paper_type";"ink_type";"solvent_type";"type_on_cylinder";"press_type";"press";"unit_number";"cylinder_size";"paper_mill_location";"plating_tank";"proof_cut";"viscosity";"ink_temperature";"humifity";"roughness";"blade_pressure";"varnish_pct";"press_speed";"ink_pct";"solvent_pct";"ESA_Voltage";"ESA_Amperage";"wax";"hardener";"roller_durometer";"current_density";"anode_space_ratio";"chrome_content";"band_type"
"19911102";"64";"35880";"2";"2";"2";"1";"1";"2";"4";"816";2;"4";"1";"1911";40;40;14,9;75;0,625;28;4,3;2000;53,2;42,5;4;0;2,5;1,5;30;5;117,86;3;"band"
"19900910";"53";"47105";"3";"3";"2";"1";"1";"2";"2";"813";9;"2";"3";"1910";55;47;14;71;0,25;16;0;1600;62,5;37,5;0;0;2,5;0,7;40;5;90,3;3;"noband"
"19900606";"19";"36024";"3";"3";"2";"3";"1";"1";"4";"815";2;"4";"1";"1910";55;54;15;82;0,75;38;0;1800;58,8;41,2;0;0;2;1;33;3;100;3;"noband"
"19900706";"6";"34583";"2";"3";"2";"1";"1";"2";"3";"827";2;"4";"1";"1911";45;55;14;73;0,75;30;0;2100;61,1;38,9;0;0;2,5;0,8;33;5;96,8;3;"band"
"19901007";"15";"38059";"3";"3";"4";"3";"1";"2";"1";"802";7;"2";"3";"1911";42;52;16,8;80;0,625;40;0;1700;54,3;45,7;3;0;3;1;34;5;107,4;3;"noband"
"19901208";"7";"38120";"3";"3";"4";"2";"1";"2";"4";"815";2;"2";"3";"1910";45;43;20;84;0,625;33;35,8;1200;41,7;22;0;0;2,5;0,5;40;5;106,25;3;"band"
"19910111";"48";"37351";"2";"3";"4";"1";"1";"2";"4";"816";2;"4";"1";"1910";50;46;17;80;0,75;30;0;2100;57,5;42,5;5;0;2,3;0,6;35;5;106,67;3;"noband"
"19901206";"50";"36805";"3";"3";"4";"3";"1";"1";"4";"815";2;"4";"2";"1910";50;42;17;88;0,75;30;0;1600;62,5;27,5;5;0;2,6;1;38;5;106,25;3;"band"
"19910206";"48";"37352";"2";"3";"4";"1";"1";"2";"4";"815";9;"4";"3";"1911";37;44;16,5;91;0,75;30;21,7;2050;43,5;34,8;0;0;2,7;0,8;35;5;107,4;3;"noband"
"19910426";"53";"47203";"3";"3";"4";"3";"1";"2";"1";"802";2;"2";"3";"1910";50;50;15,7;90;0,75;50;0;1420;62,5;37,5;0;0;3;1,35;40;5;106,45;3;"noband"
"19910316";"48";"37355";"2";"3";"4";"1";"1";"2";"3";"828";9;"4";"4";"1910";40;44;16,1;78;0,9375;30;5,6;1800;55,6;38,9;0;0;2;1;35;5;103,22;3;"noband"
"19910322";"44";"38051";"2";"3";"4";"1";"1";"2";"4";"816";2;"4";"1";"1911";60;49;14,9;77;0,75;27;0;1650;58,8;41,2;0;0;2,5;0,7;33;5;103,33;3;"noband"
"19900924";"53";"47105";"3";"3";"4";"3";"1";"2";"2";"813";1;"2";"3";"1911";60;48;14;76;1;16;5,6;1600;55,6;38,8;0;0;2,5;0,7;40;5;96,97;1;"noband"
"19901107";"48";"36166";"2";"3";"4";"1";"1";"1";"3";"828";2;"4";"3";"1910";45;43;16;80;0,75;30;3,1;2200;51;45,9;0;0;2,5;1,3;35;5;103,33;3;"noband"
"19910917";"22";"37575";"2";"3";"2";"1";"1";"2";"3";"824";2;"4";"1";"1910";30;37;17;78;0,8125;30;0;1700;58,8;41,2;0;0;2,5;1,2;30;5;106,25;3;"band"
"19910311";"48";"27386";"2";"3";"4";"3";"1";"1";"3";"827";2;"4";"5";"1911";65;40;16,4;72;1;26;0;2000;62,5;37,5;0;0;2,5;1;40;5;106,45;3;"band"
"19941010";"10";"38064";"2";"3";"3";"3";"3";"2";"1";"815";1;"4";"1";"1910";70;46;14,2;75;0,75;25;35,8;2050;41,3;30;0;4;2,5;1;60;5;108,1;3;"band"
"19901107";"48";"36166";"2";"3";"4";"1";"1";"1";"3";"828";9;"4";"3";"1910";50;43;15,5;72;0,75;30;5,1;2200;50,6;44,3;0;0;2,5;1,3;35;5;96,77;3;"noband"
"19910304";"48";"37386";"3";"3";"4";"3";"1";"2";"3";"827";2;"4";"5";"1910";40;47;24,5;78;0,875;30;8,8;2100;54,9;36,3;16;0;2,3;1;40;5;100;3;"band"
"19900824";"23";"34399";"3";"3";"4";"3";"1";"2";"2";"813";1;"2";"3";"1911";40;54;15;70;0,05625;16;10;2600;50;40;0;0;2,5;0,8;60;1;100;3;"noband"
"19900606";"65";"25424";"3";"3";"4";"3";"3";"2";"3";"821";2;"4";"3";"1911";40;54;14,6;85;0,25;20;21,7;1850;43,5;34,8;0;0;2,5;0,8;40;2;93,3;3;"noband"
