"unit_number";"proof_cut";"viscosity";"ink_temperature";"humifity";"roughness";"blade_pressure";"varnish_pct";"press_speed";"ink_pct";"solvent_pct";"ESA_Voltage";"ESA_Amperage";"wax";"hardener";"roller_durometer";"current_density";"anode_space_ratio";"chrome_content";"timestamp";"customer";"job_number";"grain_screened";"proof_on_ctd_ink";"paper_type";"ink_type";"solvent_type";"type_on_cylinder";"press_type";"press";"cylinder_size";"paper_mill_location";"plating_tank";"band_type"
2;40;40;14,9;75;0,625;28;4,3;2000;53,2;42,5;4;0;2,5;1,5;30;5;117,86;3;"19911102";"64";"35880";"2";"2";"2";"1";"1";"2";"4";"816";"4";"3";"1911";"band"
9;55;47;14;71;0,689210622233292;29,5829263617669;0;1600;62,5;37,5;0;0;2,5;0,7;40;5;90,3;3;"19900910";"53";"47105";"3";"3";"2";"1";"1";"2";"2";"813";"2";"3";"1910";"noband"
2;55;54;15;82;0,75;38;0;1800;58,8;41,2;0;0;2;1;33;3;100;3;"19900606";"19";"36024";"3";"3";"2";"3";"1";"1";"4";"815";"4";"1";"1910";"noband"
2;45;55;14;73;0,75;30;0;2100;61,1;38,9;0;0;2,5;0,8;33;5;96,8;3;"19900706";"6";"34583";"2";"3";"2";"1";"1";"2";"3";"827";"4";"1";"1911";"band"
7;42;52;16,8;80;0,625;40;0;1700;54,3;45,7;3;0;3;1;34;5;107,4;3;"19901007";"15";"38059";"3";"3";"4";"3";"1";"2";"1";"802";"2";"3";"1911";"noband"
2;45;43;20;84;0,625;33;6,63283159703295;1200;54,9005941042931;37,9704073528048;0;0;2,5;0,5;40;5;106,25;3;"19901208";"7";"38120";"3";"3";"4";"2";"1";"2";"4";"815";"2";"3";"1910";"band"
2;50;46;17;80;0,75;30;0;2100;57,5;42,5;5;0;2,3;0,6;35;5;106,67;3;"19910111";"48";"37351";"2";"3";"4";"1";"1";"2";"4";"816";"4";"3";"1910";"noband"
2;50;42;17;88;0,75;30;0;1600;62,5;27,5;5;0;2,6;1;38;5;106,25;3;"19901206";"50";"36805";"3";"3";"4";"3";"1";"1";"4";"815";"4";"2";"1910";"band"
9;37;44;16,5;91;0,75;30;21,7;2050;43,5;34,8;0;0;2,7;0,8;35;5;107,4;3;"19910206";"48";"37352";"2";"3";"4";"1";"1";"2";"4";"815";"4";"3";"1911";"noband"
2;50;50;15,7;90;0,75;50;0;1420;62,5;37,5;0;0;3;1,35;40;5;106,45;3;"19910426";"53";"47203";"3";"3";"4";"3";"1";"2";"1";"802";"2";"3";"1910";"noband"
9;40;44;16,1;78;0,9375;30;5,6;1800;55,6;38,9;0;0;2;1;35;5;103,22;3;"19910316";"48";"37355";"2";"3";"4";"1";"1";"2";"3";"828";"4";"4";"1910";"noband"
2;60;49;14,9;77;0,75;27;0;1650;58,8;41,2;0;0;2,5;0,7;33;5;103,33;3;"19910322";"44";"38051";"2";"3";"4";"1";"1";"2";"4";"816";"4";"3";"1910";"noband"
1;60;48;14;76;1;30,8530620921504;5,6;1600;55,6;38,8;0;0;2,5;0,7;40;5;96,97;1;"19900924";"53";"47105";"3";"3";"4";"3";"1";"2";"2";"813";"2";"3";"1911";"noband"
