"data_name";"insert_mean";"mice_pmm";"vim_knn";"vim_hotdeck";"softImpute"
"ipums_la_99-small";0,887153820487154;0,88865267074143;0,888593105284174;0,889863159293211;0,887153820487154
"adult";0,857142857142857;0,852272727272727;0,852272727272727;0,857142857142857;0,857142857142857
"eucalyptus";0,565217391304348;0,571428571428571;0,604651162790698;0,577777777777778;0,51063829787234
"dresses-sales";0,851063829787234;NA;0,851063829787234;0,851063829787234;0,842857142857143
"colic";0,979762735519888;0,978397212543554;0,97979094076655;0,978427279053584;0,978427279053584
"credit-approval";0,666666666666667;NA;0,857142857142857;0,8;1
"sick";0,914166085136078;0,915620641562064;0,915998605785988;0,914642609299098;0,914544820369725
"labor";0,666666666666667;0,857142857142857;0,666666666666667;0,666666666666667;0,666666666666667
"SpeedDating";0,949152542372881;0,956521739130435;0,948275862068965;0,957264957264957;0,949152542372881
"hepatitis";0,763157894736842;NA;0,684931506849315;0,676056338028169;0,783783783783784
"vote";0,777777777777778;NA;0,764705882352941;0,787878787878788;0,777777777777778
"cylinder-bands";0,220858895705521;0,20125786163522;0,242424242424242;0,209876543209877;0,220858895705521
"echoMonths";0,742138364779874;0,742138364779874;0,742138364779874;0,742138364779874;0,713286713286713
