"data_name";"insert_mean";"mice_pmm";"vim_knn";"vim_hotdeck";"softImpute"
"ipums_la_99-small";0,285714285714286;0,317073170731707;0,290697674418605;0,24;0,285714285714286
"adult";0,897394030435635;0,898241042345277;0,898669796557121;0,898456327753534;0,897394030435635
"eucalyptus";0,9;0,905027932960894;0,893854748603352;0,893854748603352;0,906077348066298
"dresses-sales";NA;NA;NA;NA;NA
"colic";0,571428571428572;0,457142857142857;0,634146341463415;0,634146341463415;0,611111111111111
"credit-approval";0,874074074074074;NA;0,874074074074074;0,87218045112782;0,859259259259259
"sick";0,976939203354298;0,977003484320558;0,978336827393431;0,976323119777159;0,976906927921623
"labor";1;NA;0,8;1;0,857142857142857
"SpeedDating";0,994992846924177;0,99535216303182;0,994992846924177;0,99391771019678;0,994992846924177
"hepatitis";0,6;0,6;0,545454545454545;0,545454545454545;0,6
"vote";0,964912280701754;0,964912280701754;0,964912280701754;0,964912280701754;0,964912280701754
"cylinder-bands";0,647887323943662;NA;0,676470588235294;0,63768115942029;0,63768115942029
"echoMonths";0,864864864864865;NA;0,864864864864865;0,864864864864865;0,864864864864865
