"data_name";"insert_mean";"mice_pmm";"vim_knn";"vim_hotdeck";"softImpute"
"ipums_la_99-small";0,124716553287982;0,125930165998855;0,126364158529581;0,123873873873874;0,124716553287982
"adult";0,886622751456803;0,887071206645108;0,887224725518817;0,887184687539612;0,886622751456803
"eucalyptus";0,863387978142077;0,87431693989071;0,886486486486487;0,87431693989071;0,868131868131868
"dresses-sales";0,672;0,666666666666667;0,698412698412698;0,645161290322581;0,704
"colic";0,518518518518518;0,465116279069767;0,528301886792453;0,565217391304348;0,528301886792453
"credit-approval";0,787096774193548;0,787096774193548;0,787096774193548;0,787096774193548;0,787096774193548
"sick";0,947521865889213;0,945215485756026;0,947521865889213;0,945215485756026;0,943065693430657
"labor";0,666666666666667;0,8;0,428571428571429;1;1
"SpeedDating";0,886345698500395;0,885025681548795;0,886874260938116;0,887573964497041;0,886345698500395
"stem-okcupid";0,844271412680756;0,857510671454705;0,843214942691383;0,857085047548391;0,844330111937704
"hepatitis";0,6;0,6;0,6;0,545454545454545;0,6
"vote";0,915254237288136;0,915254237288136;0,923076923076923;0,915254237288136;0,915254237288136
"cylinder-bands";0,564705882352941;0,384615384615385;0,571428571428571;0,542857142857143;0,551724137931034
"echoMonths";0,864864864864865;0,823529411764706;0,8;0,787878787878788;0,833333333333333
