"data_name";"insert_mean";"mice_pmm";"vim_knn";"vim_hotdeck";"softImpute"
"ipums_la_99-small";0,184615384615385;0,15625;0,141732283464567;0,155038759689922;0,15625
"adult";0,914816997315524;0,915805987710812;0,915746127197856;0,91568153615048;0,9152098474432
"eucalyptus";0,908108108108108;0,908108108108108;0,918032786885246;0,908108108108108;0,902173913043478
"dresses-sales";0,757575757575758;0,715447154471545;0,723076923076923;0,723076923076923;0,763358778625954
"colic";0,666666666666667;0,6875;0,764705882352941;0,666666666666667;0,611111111111111
"credit-approval";0,881118881118881;NA;0,881118881118881;0,887323943661972;0,881118881118881
"sick";0,985974754558205;0,985283812193413;0,986666666666667;0,985283812193413;0,985974754558205
"labor";0,857142857142857;NA;0,857142857142857;0,857142857142857;0,857142857142857
"SpeedDating";0,995732574679943;0,995378599360114;0,99644128113879;0,995378599360114;0,995732574679943
"stem-okcupid";0,884918881383751;0,885217391304348;0,889460815853815;0,884813185451391;0,883368101649915
"hepatitis";0,666666666666667;0,666666666666667;0,75;0,5;0,444444444444444
"vote";0,974358974358974;0,982758620689655;0,973913043478261;0,96551724137931;0,974358974358974
"cylinder-bands";0,776119402985075;NA;0,794117647058823;0,8;0,764705882352941
"echoMonths";0,8125;NA;0,75;0,8125;0,787878787878788
