"data_name";"insert_mean";"mice_pmm";"vim_knn";"vim_hotdeck";"softImpute"
"ipums_la_99-small";NA;NA;NA;NA;NA
"adult";0,90294816622776;0,90294816622776;0,90294816622776;0,90294816622776;0,90294816622776
"eucalyptus";0,88135593220339;0,906077348066298;0,792682926829268;0,875;0,895027624309392
"dresses-sales";NA;NA;NA;NA;NA
"colic";0,756756756756757;0,666666666666667;0,666666666666667;0,731707317073171;0,756756756756757
"credit-approval";0,885714285714286;0,885714285714286;0,885714285714286;0,885714285714286;0,885714285714286
"sick";0,985221674876847;0,983791402396054;0,986591390261115;0,988732394366197;0,990126939351199
"labor";0,75;0,333333333333333;0,666666666666667;0,75;0,428571428571429
"SpeedDating";1;1;1;1;1
"stem-okcupid";NA;NA;NA;NA;NA
"hepatitis";0,4;0,5;0,666666666666667;0,4;0,444444444444444
"vote";0,964912280701754;0,96551724137931;0,964912280701754;0,96551724137931;0,964912280701754
"cylinder-bands";0,732394366197183;0,722222222222222;0,732394366197183;0,732394366197183;0,732394366197183
"echoMonths";0,774193548387097;0,8125;0,774193548387097;0,774193548387097;0,774193548387097
